imageName,dlValues,nonDlValues
dl\15_10_s_sal_fuse.png,0.893398674405588,0.308462553888225
dl\15_11_s_sal_fuse.png,0.9679642664654474,0.3261846167051202
dl\15_12_s_sal_fuse.png,0.7085761109783422,0.3101419686376395
dl\15_13_s_sal_fuse.png,0.9788853446802219,0.3550859981257629
dl\15_14_s_sal_fuse.png,0.9524304162565198,0.35875573415678486
dl\15_15_s_sal_fuse.png,0.9474880073582036,0.31536291765302316
dl\15_16_s_sal_fuse.png,0.9950641714523866,0.31103365832149
dl\15_17_s_sal_fuse.png,0.9998135117126737,0.309704107918795
dl\15_18_s_sal_fuse.png,0.9943348053352553,0.3191332992081422
dl\15_1_s_sal_fuse.png,0.9117871340144285,0.30842880828790525
dl\15_20_s_sal_fuse.png,0.8398240086370641,0.3123327018199546
dl\15_21_s_sal_fuse.png,0.968175952168847,0.3499585948898154
dl\15_22_s_sal_fuse.png,0.9993347774104154,0.3197720904009693
dl\15_23_s_sal_fuse.png,0.8914323078241786,0.3076271693667833
dl\15_24_s_sal_fuse.png,0.9833996663473548,0.34097427639360467
dl\15_2_s_sal_fuse.png,0.9046369255883812,0.4645544537460632
dl\15_3_s_sal_fuse.png,0.8435953445402,0.31013026452958914
dl\15_4_s_sal_fuse.png,0.9512120800500529,0.3614929214199705
dl\15_5_s_sal_fuse.png,0.9378131782927023,0.35463853803580114
dl\15_6_s_sal_fuse.png,0.9907397460489403,0.31682232833790797
dl\15_7_s_sal_fuse.png,0.9011390180582501,0.33421811676594554
dl\15_8_s_sal_fuse.png,0.7953217963879607,0.3511598631887379
dl\15_9_s_sal_fuse.png,0.9655500172766779,0.32162733270730554
dl\16_10_s_sal_fuse.png,0.9691822664493671,0.3287848534275819
dl\16_11_s_sal_fuse.png,0.9515544340613687,0.31636870725597005
dl\16_12_s_sal_fuse.png,0.9835429078400691,0.31308698651555733
dl\16_13_s_sal_fuse.png,0.997943673048806,0.3075485685479715
dl\16_14_s_sal_fuse.png,0.9346004419327835,0.3149191967910351
dl\16_15_s_sal_fuse.png,0.9653659226581509,0.31655844293062535
dl\16_16_s_sal_fuse.png,0.9852812012420501,0.3116194610339691
dl\16_17_s_sal_fuse.png,0.9662335267886715,0.31178995776225393
dl\16_18_s_sal_fuse.png,0.9801787806633387,0.3179782176311183
dl\16_19_s_sal_fuse.png,0.6006097312689211,0.31350922169171275
dl\16_1_s_sal_fuse.png,0.992119234529815,0.3142967389641537
dl\16_20_s_sal_fuse.png,0.973116114407715,0.3191979011885873
dl\16_21_s_sal_fuse.png,0.8862365271347574,0.3147631724079185
dl\16_23_s_sal_fuse.png,0.9990273134735939,0.31071889576231665
dl\16_24_s_sal_fuse.png,0.9175915853396077,0.3077418262754266
dl\16_25_s_sal_fuse.png,0.9951419198416234,0.3098786393262679
dl\16_28_s_sal_fuse.png,0.5234808074911296,0.3095882640375513
dl\16_29_s_sal_fuse.png,0.963508060562089,0.3123902630239914
dl\16_2_s_sal_fuse.png,0.9751345653849885,0.3106116476343248
dl\16_30_s_sal_fuse.png,0.828207908343488,0.3099435989025452
dl\16_3_s_sal_fuse.png,0.9271545814952508,0.3139018258310815
dl\16_4_s_sal_fuse.png,0.9613666774102657,0.3099572442920538
dl\16_5_s_sal_fuse.png,0.9747215829735083,0.311883584733302
dl\16_6_s_sal_fuse.png,0.9893676218199593,0.33655153247958103
dl\16_7_s_sal_fuse.png,0.967702295452054,0.3195101774117165
dl\16_8_s_sal_fuse.png,0.9805629416494364,0.3089244004751225
dl\16_9_s_sal_fuse.png,0.9850869865563969,0.31065709773986466
